symbol,company,industry,tier,price,change_pct,high_52w,low_52w,high_200d,low_200d,from_52w_high_pct,ema20,ema200,above_ema200,rsi14,macd,macd_signal,macd_hist,vol_vs_avg20,consec_days,history_days
MANUGRAPH,Manugraph India Limited,,2,18.09,19.48,23.14,9.76,18.09,9.76,-21.82,15.36,15.87,True,72.61,0.143,-0.053,0.196,14.31,2,249
NGIL,Nakoda Group of Industries Limited,,2,38.04,17.63,42.26,22.39,42.26,22.39,-9.99,37.14,35.57,True,51.09,-1.51,-1.102,-0.408,1.41,1,249
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,,2,2.07,16.95,3.15,1.76,3.15,1.76,-34.29,1.91,2.25,False,61.83,-0.047,-0.058,0.011,5.43,2,250
TIMEX,Timex Group India Limited,,2,714.2,16.87,714.2,336.35,714.2,336.35,0.0,625.5,468.15,True,68.99,16.862,16.809,0.053,9.93,2,106
ATAM,Atam Valves Limited,,2,62.15,14.41,108.83,48.76,85.19,48.76,-42.89,56.56,69.02,False,61.11,-1.276,-2.132,0.856,6.84,1,248
SAMBHV,Sambhv Steel Tubes Limited,,2,147.57,14.32,147.57,82.3,147.57,82.3,0.0,130.13,115.15,True,72.67,3.269,2.583,0.686,10.27,2,251
ASTEC,Astec LifeSciences Limited,,2,755.15,14.08,918.75,521.85,852.15,521.85,-17.81,651.47,683.87,True,66.43,24.393,9.533,14.86,2.3,1,251
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,1,660.7,12.65,808.27,467.74,808.27,467.74,-18.26,619.4,634.24,True,61.78,-12.778,-15.96,3.182,15.72,2,251
VISAKAIND,Visaka Industries Limited,,2,97.36,11.72,102.47,50.2,102.47,50.2,-4.99,91.16,77.8,True,62.27,0.624,0.743,-0.12,2.74,1,250
MACPOWER,Macpower CNC Machines Limited,,2,2104.5,11.37,2104.5,777.63,2104.5,792.32,0.0,1875.59,1287.66,True,69.01,64.176,69.567,-5.391,4.35,3,250
RMC,RMC Switchgears Limited,,2,229.16,11.02,521.2,201.09,521.2,201.09,-56.03,233.4,335.29,False,44.57,-16.453,-16.576,0.123,2.99,2,118
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,1,479.4,10.86,542.5,368.4,502.7,368.4,-11.63,460.08,453.31,True,57.86,-6.999,-6.291,-0.708,6.5,1,251
BODALCHEM,Bodal Chemicals Limited,,2,191.23,10.24,191.23,43.45,191.23,43.45,0.0,146.86,77.76,True,82.24,26.996,24.633,2.363,0.33,1,250
TREL,Transindia Real Estate Limited,,2,29.77,10.14,32.5,22.51,30.85,22.51,-8.4,27.0,26.6,True,69.39,0.406,0.313,0.093,5.0,2,249
SHILPAMED,Shilpa Medicare Limited,,2,1021.1,10.03,1021.1,266.83,1021.1,266.83,0.0,915.14,574.8,True,70.03,51.994,56.682,-4.688,1.36,2,251
SHIVALIK,Shivalik Rasayan Limited,,2,389.15,9.96,481.6,209.5,396.2,209.5,-19.2,329.36,299.35,True,71.02,28.64,24.603,4.037,2.84,1,250
DPABHUSHAN,D. P. Abhushan Limited,,2,1448.3,9.59,1643.0,887.5,1542.0,887.5,-11.85,1396.56,1268.48,True,56.17,-7.899,1.198,-9.097,1.41,1,250
TALBROAUTO,Talbros Automotive Components Limited,,2,476.7,9.54,476.7,223.76,476.7,223.76,0.0,424.61,351.97,True,74.96,8.078,3.838,4.24,6.03,2,252
GEEKAYWIRE,Geekay Wires Limited,,2,33.46,9.49,36.07,18.79,33.93,18.79,-7.24,27.83,26.48,True,76.28,1.904,1.512,0.391,2.78,3,251
RAMBHAJO,Advit Jewels Limited,,2,290.85,9.27,290.85,167.3,290.85,167.3,0.0,252.37,195.37,True,69.97,18.003,18.218,-0.215,0.49,2,58
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,1,865.7,9.21,865.7,495.99,865.7,495.99,0.0,777.64,717.99,True,71.52,30.552,23.026,7.526,3.17,2,251
CEWATER,Concord Enviro Systems Limited,,2,279.25,8.87,528.85,241.25,475.25,241.25,-47.2,271.78,330.76,False,53.54,-1.724,-2.712,0.988,4.82,1,251
CMRGREEN,CMR Green Technologies Limited,,2,231.87,8.73,258.95,211.91,258.95,211.91,-10.46,220.21,233.15,False,60.28,-0.799,-0.888,0.089,3.41,2,73
AEROENTER,Aeroflex Enterprises Limited,,2,122.94,8.46,154.73,64.75,154.73,64.75,-20.55,133.7,108.71,True,42.29,-1.793,1.805,-3.598,1.73,1,250
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,,2,584.85,8.36,588.01,353.39,588.01,353.39,-0.54,559.44,499.21,True,61.81,6.327,8.917,-2.589,8.69,1,251
TEXMOPIPES,Texmo Pipes and Products Limited,,2,62.24,8.34,62.24,33.08,62.24,33.08,0.0,53.2,47.61,True,73.31,4.163,3.038,1.125,1.38,1,249
ARROWGREEN,Arrow Greentech Limited,,2,907.45,8.22,907.45,343.67,907.45,343.67,0.0,783.19,610.37,True,77.51,35.137,23.185,11.952,7.04,2,249
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,1,4217.6,8.17,4355.0,3534.22,4355.0,3534.22,-3.15,4000.18,4037.27,True,67.42,-15.529,-31.114,15.585,3.28,1,251
INDTERRAIN,Indian Terrain Fashions Limited,,2,30.29,8.14,40.77,24.87,37.41,24.87,-25.71,29.84,32.01,False,51.89,-0.432,-0.349,-0.083,9.9,1,248
WELCORP,Welspun Corp Ltd.,Capital Goods,1,2660.1,8.12,2776.9,719.46,2776.9,719.46,-4.21,2458.76,1492.0,True,64.52,146.841,179.91,-33.069,1.72,3,252
KANPRPLA,Kanpur Plastipack Limited,,2,265.85,8.07,277.19,155.86,277.19,155.86,-4.09,253.54,212.25,True,57.28,5.758,7.357,-1.599,0.7,1,248
KRYSTAL,Krystal Integrated Services Limited,,2,655.6,7.86,679.71,503.89,679.71,503.89,-3.55,634.41,604.36,True,57.09,2.262,5.833,-3.572,2.64,1,248
KABRAEXTRU,Kabra Extrusion Technik Limited,,2,681.6,7.72,723.15,182.58,723.15,182.58,-5.75,622.76,353.59,True,63.97,47.623,52.944,-5.321,0.66,2,251
GMMPFAUDLR,GMM Pfaudler Limited,,2,1467.0,7.6,1467.0,737.31,1467.0,737.31,0.0,1224.61,975.12,True,88.57,113.288,95.473,17.815,2.44,2,251
AXISCADES,AXISCADES Technologies Limited,,2,1811.2,7.52,2173.6,1101.2,2173.6,1101.2,-16.67,1727.69,1652.8,True,59.14,49.286,48.985,0.301,1.64,1,251
HLEGLAS,HLE Glascoat Limited,,2,446.9,7.52,645.0,251.0,474.5,251.0,-30.71,375.28,385.33,True,74.74,17.071,3.258,13.813,2.45,1,252
EDELWEISS,Edelweiss Financial Services Limited,,2,136.25,7.5,137.28,98.58,137.28,98.58,-0.75,129.22,117.21,True,60.24,2.873,3.097,-0.224,0.99,1,251
TATVA,Tatva Chintan Pharma Chem Limited,,2,1770.2,7.49,1797.93,990.3,1797.93,1051.13,-1.54,1646.63,1386.1,True,62.64,10.083,6.517,3.566,1.74,2,251
GMRAIRPORT,GMR Airports Ltd.,Services,1,99.3,7.4,114.98,84.75,114.98,84.75,-13.64,97.72,100.04,False,51.46,-1.802,-2.118,0.317,1.69,1,251
HBLENGINE,HBL Engineering Ltd.,Capital Goods,1,756.75,7.39,1094.45,613.95,965.56,613.95,-30.86,708.28,762.4,False,64.84,7.336,0.202,7.134,3.74,1,251
SANSERA,Sansera Engineering Limited,,2,4259.9,7.38,4259.9,1370.82,4259.9,1627.76,0.0,3954.05,2838.76,True,65.02,113.329,111.459,1.87,1.64,2,251
KUSUMGAR,Kusumgar Limited,,2,591.2,7.2,650.5,549.2,650.5,549.2,-9.12,572.2,596.2,False,55.29,-7.515,-8.683,1.168,1.92,2,48
BEML,BEML Ltd.,Capital Goods,1,2135.0,7.18,2229.33,1367.59,2135.0,1367.59,-4.23,2004.02,1859.51,True,64.23,44.496,49.101,-4.605,2.84,2,251
GPTINFRA,GPT Infraprojects Limited,,2,118.96,7.17,135.56,95.95,135.56,95.95,-12.25,113.14,114.87,True,63.05,-0.499,-1.234,0.735,9.17,1,250
MATRIMONY,Matrimony.Com Limited,,2,533.4,7.15,562.85,374.9,562.85,374.9,-5.23,514.44,466.15,True,60.4,7.876,11.711,-3.835,2.15,1,248
MANGALAM,Mangalam Drugs And Organics Limited,,2,34.26,7.13,76.13,23.78,51.81,23.78,-55.0,31.89,35.27,False,60.06,1.461,1.264,0.197,1.73,1,250
AZAD,Azad Engineering Limited,,2,2790.3,7.1,2899.9,1366.5,2899.9,1366.5,-3.78,2741.85,2154.08,True,54.43,23.573,54.376,-30.803,1.8,2,252
VENUSPIPES,Venus Pipes & Tubes Limited,,2,2282.9,7.09,2282.9,893.72,2282.9,893.72,0.0,1872.99,1485.92,True,81.1,132.218,85.364,46.855,3.9,2,251
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,1,2270.1,7.08,2272.05,1653.73,2272.05,1716.39,-0.09,2154.33,1938.13,True,65.13,40.448,51.331,-10.883,1.61,2,251
SMSPHARMA,SMS Pharmaceuticals Limited,,2,442.95,7.06,463.45,244.3,463.45,298.45,-4.42,403.7,368.09,True,63.83,15.859,11.924,3.934,1.37,2,251
DCI,Dc Infotech And Communication Limited,,2,282.75,7.04,413.7,213.95,413.7,213.95,-31.65,313.96,295.59,False,36.84,-21.134,-10.738,-10.396,0.65,1,249
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,1,1049.7,7.02,1049.7,585.5,1049.7,585.5,0.0,981.32,845.88,True,64.45,27.634,34.165,-6.531,3.7,3,252
CSM,CSM Technologies Limited,,2,109.85,7.02,109.85,83.44,109.85,83.44,0.0,96.25,103.6,True,66.29,-0.239,-1.89,1.651,7.78,4,57
MWL,Mangalam Worldwide Limited,,2,42.52,7.0,43.04,21.41,43.04,24.9,-1.21,39.87,33.96,True,63.67,0.357,0.089,0.269,1.69,1,251
MOBIKWIK,One Mobikwik Systems Limited,,2,212.48,6.97,301.81,155.07,243.57,155.07,-29.6,199.5,213.23,False,62.69,1.315,-0.562,1.877,2.04,2,252
AMNPLST,Amines & Plasticizers Limited,,2,171.51,6.93,229.88,128.45,220.47,128.45,-25.39,173.9,187.13,False,42.75,-6.667,-6.361,-0.306,2.37,1,250
SJS,S.J.S. Enterprises Limited,,2,2422.8,6.92,2561.7,1449.35,2561.7,1516.14,-5.42,2371.0,2035.26,True,54.52,-22.844,-15.889,-6.955,6.16,1,251
PWL,Physicswallah Ltd.,Consumer Services,1,136.6,6.89,155.24,79.56,151.38,79.56,-12.01,127.53,123.47,True,61.63,2.24,1.113,1.127,1.4,2,212
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,1,1728.9,6.87,1728.9,639.5,1728.9,639.5,0.0,1547.99,1171.19,True,70.39,49.476,39.683,9.792,4.33,3,252
RUBYMILLS,The Ruby Mills Limited,,2,459.6,6.87,472.28,168.98,472.28,168.98,-2.68,423.95,307.09,True,62.83,19.592,16.765,2.827,3.43,1,248
XTRANET,Xtranet Technologies Limited,,2,302.42,6.85,302.42,124.01,302.42,124.01,0.0,239.0,149.64,True,76.94,36.043,31.201,4.842,0.68,3,36
APOLLOPIPE,Apollo Pipes Limited,,2,543.6,6.82,663.75,254.1,663.75,254.1,-18.1,567.09,467.61,True,44.01,-5.428,7.435,-12.862,0.94,1,251
SYNCOMF,Syncom Formulations (India) Limited,,2,20.04,6.71,21.39,10.3,21.39,10.3,-6.31,18.8,15.31,True,62.11,0.888,1.163,-0.275,0.73,2,252
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,1,2265.3,6.61,2706.88,1967.16,2706.88,1967.16,-16.31,2251.54,2282.19,False,50.19,-40.132,-27.048,-13.085,0.78,1,250
JSWINFRA,JSW Infrastructure Ltd.,Services,1,348.25,6.61,351.2,233.61,351.2,233.61,-0.84,335.82,305.7,True,59.81,0.629,0.936,-0.306,7.41,2,252
GVPIL,GE Power India Limited,,2,656.1,6.49,1045.21,272.35,1045.21,272.35,-37.23,659.51,622.7,True,45.84,-23.358,-27.474,4.116,0.7,1,251
PRECWIRE,Precision Wires India Limited,,2,478.4,6.49,507.35,179.38,507.35,212.64,-5.71,457.36,362.96,True,57.68,7.554,11.495,-3.941,1.63,2,252
GOCLCORP,GOCL Corporation Limited,,2,456.15,6.48,456.15,225.0,456.15,225.0,0.0,424.68,364.85,True,67.82,10.322,7.088,3.234,2.51,1,250
SSWL,Steel Strips Wheels Limited,,2,372.4,6.38,373.6,170.43,373.6,170.43,-0.32,345.87,256.93,True,64.79,16.861,17.405,-0.544,0.72,2,250
SKIPPER,Skipper Limited,,2,566.2,6.32,604.7,330.35,604.7,330.35,-6.37,554.48,502.36,True,53.75,0.9,4.562,-3.661,0.83,2,251
INDOMIM,INDO-MIM Limited,,2,1055.9,6.31,1055.9,741.75,1055.9,741.75,0.0,952.8,792.09,True,69.0,44.161,40.871,3.29,1.86,2,37
ARFIN,Arfin India Limited,,2,87.88,6.29,99.77,44.96,99.77,59.71,-11.92,86.6,80.67,True,52.29,-0.163,0.136,-0.299,1.06,1,249
EBGNG,GNG Electronics Limited,,2,703.05,6.26,703.05,242.55,703.05,242.55,0.0,644.44,485.34,True,65.0,26.019,23.814,2.205,1.23,2,251
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,,2,1139.5,6.26,1139.5,550.47,1139.5,550.47,0.0,982.13,822.65,True,80.27,43.228,33.263,9.965,6.87,4,252
RVNL,Rail Vikas Nigam Ltd.,Construction,1,214.29,6.24,385.53,197.5,385.53,197.5,-44.42,209.8,262.94,False,52.38,-5.108,-5.55,0.442,2.02,2,252
ASKAUTOLTD,ASK Automotive Limited,,2,656.25,6.21,678.8,378.72,678.8,378.72,-3.32,621.93,510.95,True,61.36,9.276,11.537,-2.261,1.73,2,251
CONFIPET,Confidence Petroleum India Limited,,2,91.95,6.2,91.95,28.81,91.95,28.81,0.0,84.13,62.91,True,66.03,3.33,2.709,0.621,1.24,2,251
SHRIPISTON,SPR Auto Technologies Limited,,2,4576.6,6.2,4746.8,2585.83,4746.8,2601.68,-3.59,4460.9,3701.3,True,56.92,-7.043,15.008,-22.051,1.97,2,250
AEROFLEX,Aeroflex Industries Limited,,2,510.9,6.19,573.5,158.65,573.5,158.65,-10.92,523.18,369.3,True,49.09,13.441,22.372,-8.932,0.55,1,251
INFOMEDIA,Infomedia Press Limited,,2,5.5,6.18,8.05,4.58,6.86,4.58,-31.68,5.31,5.71,False,55.85,-0.005,-0.026,0.021,0.87,1,248
COMPUSOFT,Compucom Software Limited,,2,13.63,6.15,19.56,11.94,16.68,11.94,-30.32,13.11,14.13,False,60.53,0.009,-0.001,0.01,7.18,1,250
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,1,1030.45,6.12,1420.46,887.0,1363.17,887.0,-27.46,980.19,1093.85,False,61.06,-3.583,-8.426,4.843,2.05,2,251
VSTTILLERS,V.S.T Tillers Tractors Limited,,2,4240.0,6.09,6223.65,3996.5,6223.65,3996.5,-31.87,4173.1,4801.29,False,52.0,-92.674,-95.612,2.939,2.44,1,250
EMIL,Electronics Mart India Limited,,2,196.28,6.06,196.28,85.58,196.28,85.58,0.0,182.54,137.63,True,65.37,5.857,6.333,-0.476,6.06,2,252
INOXINDIA,INOX India Limited,,2,2098.8,6.06,2295.8,1072.11,2295.8,1072.11,-8.58,2107.73,1652.09,True,50.81,35.827,57.186,-21.359,0.42,1,250
LEXUS,Lexus Granito (India) Limited,,2,13.52,6.04,38.31,12.75,38.31,12.75,-64.71,13.56,19.87,False,47.96,-0.279,-0.297,0.019,0.69,1,247
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,1,559.0,6.03,667.9,405.3,667.9,405.3,-16.3,537.02,535.21,True,56.66,-2.963,-5.256,2.293,1.23,1,252
RADIANTCMS,Radiant Cash Management Services Limited,,2,38.05,6.02,53.29,30.73,49.93,30.73,-28.6,36.76,39.43,False,56.87,0.483,0.581,-0.098,1.32,1,250
EIHOTEL,EIH Ltd.,Consumer Services,1,317.9,6.0,400.03,272.31,379.53,272.31,-20.53,296.38,325.12,False,64.1,-2.167,-5.229,3.062,3.99,3,252
TVSSCS,TVS Supply Chain Solutions Limited,,2,133.85,5.99,141.66,90.97,141.66,90.97,-5.51,128.89,124.18,True,56.97,-0.083,-0.581,0.498,0.73,1,250
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,1,155.62,5.98,194.34,102.18,164.26,102.18,-19.92,153.72,142.08,True,53.66,1.316,2.486,-1.17,0.37,1,251
UNITECH,Unitech Limited,,2,4.46,5.94,7.65,3.16,6.29,3.16,-41.7,4.09,4.91,False,63.97,0.032,-0.035,0.067,2.05,2,250
CLSEL,Chaman Lal Setia Exports Limited,,2,298.25,5.91,319.05,205.25,319.05,205.25,-6.52,296.67,279.43,True,51.85,2.181,3.774,-1.594,0.73,1,247
ELANTAS,Elantas Beck India Limited,,2,14228.0,5.89,14513.0,9028.6,14513.0,9028.6,-1.96,12897.6,10254.42,True,67.07,783.922,692.232,91.69,0.62,1,106
WELSPUNLIV,Welspun Living Ltd.,Textiles,1,214.66,5.84,214.66,108.25,214.66,108.25,0.0,199.68,153.86,True,71.4,9.005,9.604,-0.599,0.92,2,251
ACMESOLAR,ACME Solar Holdings Ltd.,Power,1,435.25,5.82,435.25,198.78,435.25,198.78,0.0,405.8,329.86,True,66.98,9.879,8.561,1.318,5.1,1,252
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,1,1640.0,5.81,1725.6,539.9,1725.6,601.35,-4.96,1579.0,1076.39,True,59.39,43.415,57.249,-13.834,0.95,1,252
TDPOWERSYS,TD Power Systems Limited,,2,763.75,5.77,804.9,266.51,804.9,311.85,-5.11,740.55,555.15,True,55.17,15.476,23.13,-7.654,1.52,2,252
MARSONS,Marsons Limited,,2,128.62,5.71,170.76,102.19,170.76,102.19,-24.68,124.05,128.82,False,56.27,2.562,3.516,-0.954,1.52,3,132
SOLEX,Solex Energy Limited,,2,695.1,5.69,1916.49,657.65,1666.89,657.65,-63.73,733.07,1076.08,False,33.36,-48.338,-50.87,2.533,3.05,1,250
MAHLIFE,Mahindra Lifespace Developers Limited,,2,363.7,5.68,417.73,291.48,416.55,291.48,-12.93,362.38,362.26,True,49.28,-6.05,-5.224,-0.826,1.94,1,251
DYCL,Dynamic Cables Limited,,2,457.4,5.64,544.3,240.57,544.3,240.57,-15.97,459.06,382.37,True,50.66,2.614,10.307,-7.694,0.32,2,251
ANIKINDS,Anik Industries Limited,,2,42.86,5.62,80.48,32.87,57.9,32.87,-46.74,44.2,47.91,False,44.18,-0.185,0.244,-0.429,1.46,1,249
TVTODAY,TV Today Network Limited,,2,109.29,5.6,152.02,95.87,142.34,95.87,-28.11,110.45,120.48,False,45.25,-2.092,-1.744,-0.348,1.43,1,250
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,1,1241.3,5.56,1280.1,900.59,1280.1,900.59,-3.03,1198.16,1161.94,True,61.51,3.519,3.088,0.431,4.11,2,250
WCIL,Western Carriers (India) Limited,,2,95.21,5.51,144.87,77.87,123.69,77.87,-34.28,87.5,101.6,False,70.19,0.587,-0.741,1.328,3.49,1,251
CGCL,Capri Global Capital Ltd.,Financial Services,1,270.65,5.45,279.9,151.86,279.9,151.86,-3.3,258.73,213.28,True,60.06,7.38,8.225,-0.846,0.8,2,251
YUKEN,Yuken India Limited,,2,1134.95,5.32,1134.95,592.99,1134.95,592.99,0.0,1001.67,820.21,True,76.62,71.388,63.883,7.505,2.01,1,248
CYIENTDLM,Cyient DLM Limited,,2,940.7,5.28,976.25,272.3,976.25,272.3,-3.64,859.85,552.32,True,67.79,52.101,56.519,-4.418,0.58,2,252
PRUDENT,Prudent Corporate Advisory Services Limited,,2,3501.6,5.28,3674.4,2159.56,3674.4,2159.56,-4.7,3348.78,2915.21,True,58.72,28.956,33.162,-4.206,1.79,2,250
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,1,1065.4,5.27,1175.12,803.49,1086.48,803.49,-9.34,976.25,970.54,True,75.25,31.319,19.819,11.5,0.89,2,251
VIDHIING,Vidhi Specialty Food Ingredients Limited,,2,337.4,5.22,376.85,263.25,360.25,263.25,-10.47,337.87,320.18,True,51.25,4.071,7.302,-3.231,0.85,1,247
AIROLAM,Airo Lam limited,,2,88.54,5.14,111.81,78.84,106.5,78.84,-20.81,87.22,91.29,False,53.6,-0.675,-0.594,-0.081,3.47,1,247
INDIACEM,India Cements Ltd.,Construction Materials,1,351.7,5.09,478.55,334.65,478.55,334.65,-26.51,356.31,389.57,False,42.44,-9.834,-9.077,-0.757,9.71,1,251
NDL,Nandan Denim Limited,,2,2.89,5.09,3.62,1.84,3.15,1.84,-20.17,2.8,2.73,True,58.21,0.09,0.112,-0.022,0.57,1,250
SHRADHA,Shradha Realty Limited,,2,31.49,5.07,50.19,26.56,43.68,26.56,-37.26,31.71,36.15,False,46.07,-0.661,-0.609,-0.052,5.1,1,247
ADANIGREEN,Adani Green Energy Ltd.,Power,1,1334.5,5.06,1604.5,772.8,1604.5,772.8,-16.83,1301.26,1245.86,True,53.66,-17.668,-24.199,6.531,1.74,2,251
PRAKASHSTL,Prakash Steelage Limited,,2,3.74,5.06,6.0,3.56,6.0,3.56,-37.67,3.81,4.38,False,43.84,-0.075,-0.069,-0.007,0.92,1,249
BOROLTD,Borosil Limited,,2,259.21,5.05,373.6,215.6,310.4,215.6,-30.62,252.13,257.61,True,56.27,2.744,3.11,-0.366,0.1,1,251
KISSHT,OnEMI Technology Solutions Limited,,2,359.95,5.05,359.95,196.07,359.95,196.07,0.0,324.21,264.48,True,72.38,9.92,5.392,4.528,1.79,3,95
BHAGYANGR,Bhagyanagar India Limited,,2,446.7,5.04,446.7,91.06,446.7,121.19,0.0,403.84,288.22,True,66.31,12.06,6.82,5.241,1.85,2,251
CPL,Captain Polyplast Limited,,2,65.39,5.03,72.88,61.87,72.88,61.87,-10.28,65.23,69.69,False,48.77,-1.152,-1.342,0.19,0.96,1,40
KIRLOSBROS,Kirloskar Brothers Limited,,2,1811.4,5.03,2066.74,1334.03,2065.44,1334.03,-12.35,1833.94,1798.63,True,45.27,-35.242,-24.233,-11.009,1.61,1,251
HEG,HEG Ltd.,Capital Goods,1,225.8,5.0,739.25,215.05,739.25,215.05,-69.46,427.82,559.89,False,16.29,-124.945,-87.722,-37.223,0.84,1,251
ANUHPHR,Anuh Pharma Limited,,2,93.68,5.0,96.74,65.75,96.74,65.75,-3.16,87.33,79.7,True,62.99,3.877,3.338,0.539,1.11,1,250
MONEYBOXX,Moneyboxx Finance Limited,,2,51.9,5.0,85.89,37.15,76.97,37.15,-39.57,51.99,64.48,False,47.82,-3.16,-2.708,-0.452,0.09,4,230
SALSTEEL,S.A.L. Steel Limited,,2,74.62,5.0,82.43,26.65,82.43,33.8,-9.47,75.26,55.29,True,51.53,2.369,3.752,-1.384,0.91,1,247
SEJALLTD,Sejal Glass Limited,,2,649.25,5.0,987.35,401.05,889.4,401.05,-34.24,664.33,718.29,False,44.05,-16.559,-15.273,-1.285,10.16,1,250
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,1,567.8,4.99,738.94,433.75,738.94,433.75,-23.16,570.53,575.65,False,46.82,-10.714,-10.712,-0.002,0.96,1,251
DEEDEV,DEE Development Engineers Limited,,2,668.75,4.99,737.53,184.48,737.53,184.48,-9.33,644.93,504.99,True,55.08,-0.112,-0.87,0.759,1.05,3,251
MUTHOOTCAP,Muthoot Capital Services Limited,,2,234.02,4.99,294.35,178.95,284.15,178.95,-20.5,237.95,232.95,True,45.63,-2.977,-0.651,-2.326,3.0,1,248
NIMBSPROJ,Nimbus Projects Limited,,2,183.73,4.99,225.62,143.51,225.62,143.51,-18.57,167.77,191.91,False,61.31,-2.886,-6.268,3.382,0.33,7,116
TBZ,Tribhovandas Bhimji Zaveri Limited,,2,603.55,4.99,603.55,110.75,603.55,110.75,0.0,465.8,237.66,True,82.42,77.255,67.443,9.813,0.37,3,252
STLNETWORK,STL Networks Limited,,2,40.91,4.98,40.91,15.92,40.91,15.92,0.0,32.4,26.42,True,88.76,3.434,2.311,1.123,1.35,3,251
STEL,Stel Holdings Limited,,2,631.9,4.96,661.2,389.3,661.2,389.3,-4.43,604.11,528.48,True,60.89,7.534,8.572,-1.038,0.95,2,251
NORTHARC,Northern Arc Capital Limited,,2,310.55,4.95,325.3,206.85,325.3,206.85,-4.53,300.21,280.56,True,58.2,3.347,3.349,-0.002,0.83,2,251
SAMHI,Samhi Hotels Limited,,2,160.27,4.94,211.44,128.15,200.55,128.15,-24.2,157.86,169.91,False,51.59,-2.335,-3.224,0.889,2.87,1,250
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,1,1824.0,4.93,1883.2,1298.13,1883.2,1298.13,-3.14,1729.82,1644.01,True,64.3,15.317,4.946,10.371,1.66,3,252
PAYTM,One 97 Communications Ltd.,Financial Services,1,1849.9,4.93,1849.9,959.0,1849.9,959.0,0.0,1708.44,1324.1,True,67.28,73.349,71.222,2.126,1.04,1,252
KSHITIJPOL,Kshitij Polyline Limited,,2,3.83,4.93,7.19,1.99,7.19,1.99,-46.73,3.32,3.3,True,70.12,0.161,0.089,0.072,1.2,2,248
REGAAL,Regaal Resources Limited,,2,84.03,4.93,103.97,58.5,99.22,58.5,-19.18,85.58,83.12,True,45.47,-1.736,-0.757,-0.979,1.43,1,251
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,1,2003.8,4.92,2005.7,1269.33,2005.7,1361.85,-0.09,1928.97,1704.73,True,62.17,21.012,14.04,6.972,8.2,1,252
VPRPL,Vishnu Prakash R Punglia Limited,,2,33.35,4.91,108.77,25.19,79.4,25.19,-69.34,34.05,45.03,False,48.89,0.459,0.901,-0.442,0.48,1,251
ISHANCH,Ishan Dyes and Chemicals Limited,,2,49.43,4.9,81.97,43.23,68.1,43.23,-39.7,45.97,55.84,False,61.49,-0.682,-1.392,0.711,1.96,2,250
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,1,1398.0,4.89,1915.82,1191.76,1812.66,1191.76,-27.03,1435.42,1528.61,False,43.67,-31.281,-13.063,-18.218,1.25,2,252
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,1,114.32,4.89,158.96,107.69,144.9,107.69,-28.08,112.74,125.59,False,52.01,-1.781,-1.9,0.12,1.28,2,252
AHCL,Anlon Healthcare Limited,,2,22.9,4.85,22.9,10.82,22.9,10.82,0.0,17.97,14.63,True,88.96,1.681,1.003,0.678,4.44,2,252
LOKESHMACH,Lokesh Machines Limited,,2,348.25,4.83,364.6,142.8,364.6,142.8,-4.48,342.32,268.31,True,53.8,5.105,5.268,-0.163,0.91,1,248
STEELXIND,STEEL EXCHANGE INDIA LIMITED,,2,11.74,4.82,13.39,7.03,13.39,7.03,-12.32,11.38,10.57,True,56.71,0.134,0.102,0.032,0.81,2,252
ARIS,Arisinfra Solutions Limited,,2,133.33,4.76,175.58,84.18,154.2,84.18,-24.06,129.31,127.76,True,54.01,-1.998,-1.293,-0.706,1.61,2,252
SENCO,Senco Gold Limited,,2,348.0,4.74,417.44,278.04,417.44,278.04,-16.63,351.51,345.24,True,46.81,-5.603,-4.535,-1.068,0.66,1,251
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,1,240.18,4.71,260.72,144.76,260.72,155.6,-7.88,231.77,210.64,True,60.59,-1.149,-1.907,0.758,3.64,3,252
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,1,32700.0,4.71,38435.82,16210.13,38435.82,16210.13,-14.92,32032.83,29278.79,True,52.81,-547.966,-542.69,-5.277,1.49,2,252
