symbol,company,industry,tier,price,change_pct,high_52w,low_52w,high_200d,low_200d,from_52w_high_pct,ema20,ema200,above_ema200,rsi14,macd,macd_signal,macd_hist,vol_vs_avg20,consec_days,history_days
SUBEXLTD,Subex Limited,,2,20.11,1.06,20.8,6.68,20.8,6.68,-3.32,18.63,12.95,True,64.73,1.317,1.328,-0.011,0.86,2,252
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,1,2229.4,1.05,2229.5,1400.43,2229.5,1416.97,-0.0,2194.44,1860.62,True,61.34,21.838,26.233,-4.396,3.78,2,251
PGEL,PG Electroplast Ltd.,Consumer Durables,1,529.1,1.05,630.35,440.44,630.35,440.44,-16.06,556.7,558.63,False,32.55,-17.452,-13.433,-4.019,0.48,2,251
ADL,Archidply Decor Limited,,2,71.91,1.05,93.51,52.52,82.4,52.52,-23.1,72.49,73.99,False,48.65,-0.025,0.317,-0.342,0.57,1,247
RUBFILA,Rubfila International Limited,,2,65.72,1.05,84.86,57.97,81.44,57.97,-22.55,67.74,72.4,False,43.01,-1.049,-0.849,-0.2,1.01,2,248
DMART,Avenue Supermarts Ltd.,Consumer Services,1,3749.9,1.04,4775.3,3646.3,4628.5,3646.3,-21.47,3776.19,4079.61,False,42.71,-64.023,-68.203,4.18,1.9,1,252
LGHL,Laxmi Goldorna House Limited,,2,187.04,1.04,393.96,172.23,332.55,172.23,-52.52,182.34,243.05,False,52.67,-2.519,-4.902,2.383,3.83,2,248
SHREYANIND,Shreyans Industries Limited,,2,127.48,1.04,235.23,122.49,181.42,122.49,-45.81,130.16,154.29,False,43.83,-0.84,-1.3,0.461,0.39,1,247
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,1,47555.0,1.03,50000.0,28557.08,50000.0,28557.08,-4.89,47601.82,40268.99,True,52.88,809.219,1152.021,-342.802,0.99,1,248
CARERATING,CARE Ratings Limited,,2,1652.5,1.03,1785.38,1400.72,1785.38,1400.72,-7.44,1683.31,1634.94,True,44.06,-8.159,-1.2,-6.959,0.44,1,249
UNITEDPOLY,United Polyfab Gujarat Limited,,2,43.19,1.03,49.63,21.32,43.28,21.32,-12.98,39.75,33.5,True,75.1,2.704,2.525,0.179,1.04,1,247
VINNY,Vinny Overseas Limited,,2,0.98,1.03,1.41,0.97,1.41,0.97,-30.5,1.02,1.13,False,28.7,-0.022,-0.017,-0.006,0.91,1,248
AEQUS,Aequs Limited,,2,231.67,1.02,262.45,115.11,262.45,115.11,-11.73,234.86,198.57,True,44.92,-4.776,-3.274,-1.502,0.41,2,196
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,1,4385.0,1.01,5519.84,2551.48,5519.84,2551.48,-20.56,4389.02,4099.67,True,49.94,12.433,22.198,-9.765,0.85,3,252
EMSLIMITED,EMS Limited,,2,366.65,1.01,579.95,256.69,456.26,256.69,-36.78,377.69,391.72,False,42.09,-5.376,-4.013,-1.363,0.17,2,252
GREENPANEL,Greenpanel Industries Limited,,2,152.77,1.01,309.4,151.24,246.83,151.24,-50.62,160.47,204.27,False,32.44,-6.154,-6.525,0.37,1.58,1,250
IPCALAB,Ipca Laboratories Ltd.,Healthcare,1,1970.3,1.0,1987.6,1264.31,1987.6,1381.4,-0.87,1937.26,1645.72,True,61.47,33.454,41.383,-7.928,2.31,2,250
RITES,RITES Ltd.,Construction,1,207.23,1.0,262.88,172.27,245.76,172.27,-21.17,209.59,216.95,False,43.09,-2.937,-2.421,-0.516,1.84,2,252
TBOTEK,TBO Tek Ltd.,Consumer Services,1,1647.7,1.0,1745.1,1018.0,1745.1,1018.0,-5.58,1673.14,1482.91,True,47.89,11.567,26.766,-15.199,0.49,1,250
JYOTISTRUC,Jyoti Structures Limited,,2,9.11,1.0,17.08,7.97,14.03,7.97,-46.66,9.92,11.76,False,28.34,-0.418,-0.347,-0.071,0.59,1,251
SKMEGGPROD,SKM Egg Products Export (India) Limited,,2,231.9,1.0,359.08,145.3,359.08,145.3,-35.42,248.15,226.29,True,34.84,-8.084,-5.964,-2.119,0.5,1,251
UFLEX,UFLEX Limited,,2,659.45,1.0,701.8,332.03,701.8,332.03,-6.03,641.03,500.77,True,60.88,26.413,35.241,-8.828,0.2,3,251
UNICHEMLAB,Unichem Laboratories Limited,,2,524.25,1.0,650.6,284.05,650.6,284.05,-19.42,538.76,463.95,True,45.75,1.25,5.104,-3.854,0.42,1,249
WEWORK,WeWork India Management Limited,,2,682.85,1.0,755.4,426.5,755.4,426.5,-9.6,679.19,631.01,True,50.39,-6.142,-8.163,2.021,0.53,3,234
ENGINERSIN,Engineers India Ltd.,Construction,1,266.35,0.99,281.95,163.36,281.95,163.36,-5.53,263.63,230.48,True,55.5,5.359,7.433,-2.074,0.3,2,252
LPDC,Landmark Property Development Company Limited,,2,6.12,0.99,9.0,5.53,8.12,5.53,-32.0,6.52,6.82,False,37.57,-0.175,-0.077,-0.097,0.21,1,248
